DATE,DEXJPUS,DJIA
2010-06-18,90.7900,10450.64
2010-06-21,91.1800,10442.41
2010-06-22,90.5900,10293.52
2010-06-23,89.8200,10298.44
2010-06-24,89.4000,10152.80
2010-06-25,89.3500,10143.81
2010-06-28,89.2300,10138.52
2010-06-29,88.3900,9870.30
2010-06-30,88.4900,9774.02
2010-07-01,87.4200,9732.53
2010-07-02,87.6900,9686.48
2010-07-05,.,.
2010-07-06,87.5500,9743.62
2010-07-07,87.1600,10018.28
2010-07-08,88.4400,10138.99
2010-07-09,88.4800,10198.03
2010-07-12,88.5300,10216.27
2010-07-13,88.2400,10363.02
2010-07-14,88.5900,10366.72
2010-07-15,87.4100,10359.31
2010-07-16,86.4000,10097.90
2010-07-19,86.7700,10154.43
2010-07-20,87.2200,10229.96
2010-07-21,87.3000,10120.53
2010-07-22,87.0000,10322.30
2010-07-23,87.3100,10424.62
2010-07-26,87.2000,10525.43
2010-07-27,87.8800,10537.69
2010-07-28,87.6200,10497.88
2010-07-29,86.8700,10467.16
2010-07-30,86.4300,10465.94
2010-08-02,86.4200,10674.38
2010-08-03,85.8800,10636.38
2010-08-04,86.2600,10680.43
2010-08-05,85.8300,10674.98
2010-08-06,85.2500,10653.56
2010-08-09,85.8800,10698.75
2010-08-10,85.8800,10644.25
2010-08-11,85.3600,10378.83
2010-08-12,85.8300,10319.95
2010-08-13,86.2000,10303.15
2010-08-16,85.3300,10302.01
2010-08-17,85.5100,10405.85
2010-08-18,85.3100,10415.54
2010-08-19,85.2700,10271.21
2010-08-20,85.6300,10213.62
2010-08-23,85.1600,10174.41
2010-08-24,84.1600,10040.45
2010-08-25,84.5600,10060.06
2010-08-26,84.6100,9985.81
2010-08-27,85.1000,10150.65
2010-08-30,84.6700,10009.73
2010-08-31,84.1000,10014.72
2010-09-01,84.4800,10269.47
2010-09-02,84.1500,10320.10
2010-09-03,84.4500,10447.93
2010-09-06,.,.
2010-09-07,83.7500,10340.69
2010-09-08,83.8500,10387.01
2010-09-09,83.8300,10415.24
2010-09-10,84.1300,10462.77
2010-09-13,83.5300,10544.13
2010-09-14,83.0500,10526.49
2010-09-15,85.6300,10572.73
2010-09-16,85.7200,10594.83
2010-09-17,85.7700,10607.85
2010-09-20,85.7400,10753.62
2010-09-21,85.3600,10761.03
2010-09-22,84.3700,10739.31
2010-09-23,84.3200,10662.42
2010-09-24,84.2400,10860.26
2010-09-27,84.1700,10812.04
2010-09-28,83.8200,10858.14
2010-09-29,83.6100,10835.28
2010-09-30,83.5300,10788.05
2010-10-01,83.3000,10829.68
2010-10-04,83.3300,10751.27
2010-10-05,83.1700,10944.72
2010-10-06,82.8000,10967.65
2010-10-07,82.3500,10948.58
2010-10-08,81.8600,11006.48
2010-10-11,.,11010.34
2010-10-12,81.7400,11020.40
2010-10-13,81.8100,11096.08
2010-10-14,81.4400,11094.57
2010-10-15,81.3200,11062.78
2010-10-18,81.1600,11143.69
2010-10-19,81.6000,10978.62
2010-10-20,81.1400,11107.97
2010-10-21,81.1600,11146.57
2010-10-22,81.4800,11132.56
2010-10-25,80.6100,11164.05
2010-10-26,81.2800,11169.46
2010-10-27,81.5500,11126.28
2010-10-28,80.9900,11113.95
2010-10-29,80.4800,11118.49
2010-11-01,80.6600,11124.62
2010-11-02,80.8000,11188.72
2010-11-03,81.4100,11215.13
2010-11-04,80.6100,11434.84
2010-11-05,81.3500,11444.08
2010-11-08,81.1400,11406.84
2010-11-09,81.1500,11346.75
2010-11-10,82.5300,11357.04
2010-11-11,.,11283.10
2010-11-12,82.4400,11192.58
2010-11-15,82.9000,11201.97
2010-11-16,83.4100,11023.50
2010-11-17,83.1500,11007.88
2010-11-18,83.6400,11181.23
2010-11-19,83.4900,11203.55
2010-11-22,83.4600,11178.58
2010-11-23,82.8600,11036.37
2010-11-24,83.3800,11187.28
2010-11-25,.,.
2010-11-26,84.0800,11092.00
2010-11-29,84.3400,11052.49
2010-11-30,83.5600,11006.02
2010-12-01,84.0000,11255.78
2010-12-02,83.5300,11362.41
2010-12-03,82.7300,11382.09
2010-12-06,82.7000,11362.19
2010-12-07,83.0400,11359.16
2010-12-08,84.1600,11372.48
2010-12-09,83.8500,11370.06
2010-12-10,83.8700,11410.32
2010-12-13,83.5700,11428.56
2010-12-14,83.5200,11476.54
2010-12-15,84.0400,11457.47
2010-12-16,84.2300,11499.25
2010-12-17,84.1500,11491.91
2010-12-20,83.7200,11478.13
2010-12-21,83.7600,11533.16
2010-12-22,83.5600,11559.49
2010-12-23,82.9700,11573.49
2010-12-24,.,.
2010-12-27,82.9100,11555.03
2010-12-28,82.2100,11575.54
2010-12-29,81.9000,11585.38
2010-12-30,81.6700,11569.71
2010-12-31,.,11577.51
2011-01-03,81.5600,11670.75
2011-01-04,81.9600,11691.18
2011-01-05,83.2200,11722.89
2011-01-06,83.1500,11697.31
2011-01-07,83.0400,11674.76
2011-01-10,82.7800,11637.45
2011-01-11,83.3600,11671.88
2011-01-12,83.2900,11755.44
2011-01-13,82.7200,11731.90
2011-01-14,82.9900,11787.38
2011-01-17,.,.
2011-01-18,82.6600,11837.93
2011-01-19,82.0300,11825.29
2011-01-20,83.0200,11822.80
2011-01-21,82.6300,11871.84
2011-01-24,82.4400,11980.52
2011-01-25,82.3500,11977.19
2011-01-26,82.2700,11985.44
2011-01-27,83.0300,11989.83
2011-01-28,82.0300,11823.70
2011-01-31,81.9700,11891.93
2011-02-01,81.4800,12040.16
2011-02-02,81.8200,12041.97
2011-02-03,81.4800,12062.26
2011-02-04,81.9900,12092.15
2011-02-07,82.4000,12161.63
2011-02-08,81.9200,12233.15
2011-02-09,82.4700,12239.89
2011-02-10,83.1100,12229.29
2011-02-11,83.5200,12273.26
2011-02-14,83.3200,12268.19
2011-02-15,83.7900,12226.64
2011-02-16,83.7300,12288.17
2011-02-17,83.2500,12318.14
2011-02-18,83.2200,12391.25
2011-02-21,.,.
2011-02-22,82.9400,12212.79
2011-02-23,82.3900,12105.78
2011-02-24,81.6700,12068.50
2011-02-25,81.7600,12130.45
2011-02-28,81.9400,12226.34
2011-03-01,81.8600,12058.02
2011-03-02,81.6200,12066.80
2011-03-03,82.4100,12258.20
2011-03-04,82.3500,12169.88
2011-03-07,82.1200,12090.03
2011-03-08,82.6900,12214.38
2011-03-09,82.7800,12213.09
2011-03-10,82.9800,11984.61
2011-03-11,81.7700,12044.40
2011-03-14,81.6500,11993.16
2011-03-15,80.8200,11855.42
2011-03-16,80.1700,11613.30
2011-03-17,78.7400,11774.59
2011-03-18,81.1400,11858.52
2011-03-21,81.1100,12036.53
2011-03-22,81.0000,12018.63
2011-03-23,80.9400,12086.02
2011-03-24,80.8200,12170.56
2011-03-25,81.1200,12220.59
2011-03-28,81.6700,12197.88
2011-03-29,82.3800,12279.01
2011-03-30,82.9800,12350.61
2011-03-31,82.7600,12319.73
2011-04-01,84.0500,12376.72
2011-04-04,83.9800,12400.03
2011-04-05,84.6500,12393.90
2011-04-06,85.2600,12426.75
2011-04-07,84.9800,12409.49
2011-04-08,84.9900,12380.05
2011-04-11,84.5800,12381.11
2011-04-12,83.7900,12263.58
2011-04-13,83.5900,12270.99
2011-04-14,83.2300,12285.15
2011-04-15,83.1300,12341.83
2011-04-18,82.4300,12201.59
2011-04-19,82.4100,12266.75
2011-04-20,82.5800,12453.54
2011-04-21,81.8100,12505.99
2011-04-22,81.9200,.
2011-04-25,81.9300,12479.88
2011-04-26,81.9300,12595.37
2011-04-27,82.6000,12690.96
2011-04-28,81.5700,12763.31
2011-04-29,81.3100,12810.54
2011-05-02,81.2300,12807.36
2011-05-03,81.0200,12807.51
2011-05-04,80.6900,12723.58
2011-05-05,80.1200,12584.17
2011-05-06,80.5100,12638.74
2011-05-09,80.6600,12684.68
2011-05-10,80.7500,12760.36
2011-05-11,80.7800,12630.03
2011-05-12,80.7500,12695.92
2011-05-13,80.7600,12595.75
2011-05-16,80.8200,12548.37
2011-05-17,81.3900,12479.58
2011-05-18,81.3700,12560.18
2011-05-19,81.7800,12605.32
2011-05-20,81.6400,12512.04
2011-05-23,81.8100,12381.26
2011-05-24,82.1200,12356.21
2011-05-25,81.9600,12394.66
2011-05-26,81.4400,12402.76
2011-05-27,80.7500,12441.58
2011-05-30,.,.
2011-05-31,81.2900,12569.79
2011-06-01,80.8200,12290.14
2011-06-02,80.9800,12248.55
2011-06-03,80.3800,12151.26
2011-06-06,80.1900,12089.96
2011-06-07,80.2100,12070.81
2011-06-08,79.8700,12048.94
2011-06-09,80.0700,12124.36
2011-06-10,80.2600,11951.91
2011-06-13,80.1600,11952.97
2011-06-14,80.5000,12076.11
2011-06-15,80.7100,11897.27
2011-06-16,80.7000,11961.52
2011-06-17,80.1000,12004.36
2011-06-20,80.2600,12080.38
2011-06-21,80.1500,12190.01
2011-06-22,80.0600,12109.67
2011-06-23,80.4500,12050.00
2011-06-24,80.3200,11934.58
2011-06-27,80.8900,12043.56
2011-06-28,80.8500,12188.69
2011-06-29,80.8000,12261.42
2011-06-30,80.6400,12414.34
2011-07-01,80.8100,12582.77
2011-07-04,.,.
2011-07-05,81.1400,12569.87
2011-07-06,80.9000,12626.02
2011-07-07,81.2600,12719.49
2011-07-08,80.6400,12657.20
2011-07-11,80.3700,12505.76
2011-07-12,79.5300,12446.88
2011-07-13,78.9900,12491.61
2011-07-14,79.1100,12437.12
2011-07-15,79.0300,12479.73
2011-07-18,79.1000,12385.16
2011-07-19,78.9100,12587.42
2011-07-20,78.7600,12571.91
2011-07-21,78.4700,12724.41
2011-07-22,78.4400,12681.16
2011-07-25,78.3100,12592.80
2011-07-26,78.0400,12501.30
2011-07-27,77.9900,12302.55
2011-07-28,77.8700,12240.11
2011-07-29,77.1800,12143.24
2011-08-01,76.8700,12132.49
2011-08-02,77.1300,11866.62
2011-08-03,76.8700,11896.44
2011-08-04,79.0100,11383.68
2011-08-05,78.4800,11444.61
2011-08-08,77.5300,10809.85
2011-08-09,77.1600,11239.77
2011-08-10,76.4100,10719.94
2011-08-11,76.6800,11143.31
2011-08-12,76.7900,11269.02
2011-08-15,76.7300,11482.90
2011-08-16,76.7600,11405.93
2011-08-17,76.4600,11410.21
2011-08-18,76.5200,10990.58
2011-08-19,76.4600,10817.65
2011-08-22,76.7700,10854.65
2011-08-23,76.5900,11176.76
2011-08-24,76.7800,11320.71
2011-08-25,77.3800,11149.82
2011-08-26,76.6200,11284.54
2011-08-29,76.9600,11539.25
2011-08-30,76.7500,11559.95
2011-08-31,76.5000,11613.53
2011-09-01,76.8100,11493.57
2011-09-02,76.7900,11240.26
2011-09-05,.,.
2011-09-06,77.4800,11139.30
2011-09-07,77.3900,11414.86
2011-09-08,77.4300,11295.81
2011-09-09,77.3100,10992.13
2011-09-12,77.1500,11061.12
2011-09-13,76.8800,11105.85
2011-09-14,76.7100,11246.73
2011-09-15,76.7000,11433.18
2011-09-16,76.8900,11509.09
2011-09-19,76.4800,11401.01
2011-09-20,76.5200,11408.66
2011-09-21,76.3800,11124.84
2011-09-22,76.3100,10733.83
2011-09-23,76.3000,10771.48
2011-09-26,76.3500,11043.86
2011-09-27,76.6000,11190.69
2011-09-28,76.51,11010.90
2011-09-29,76.6800,11153.98
2011-09-30,77.0400,10913.38
2011-10-03,76.6600,10655.30
2011-10-04,76.8600,10808.71
2011-10-05,76.8600,10939.95
2011-10-06,76.6400,11123.33
2011-10-07,76.7700,11103.12
2011-10-10,.,11433.18
2011-10-11,76.6600,11416.30
2011-10-12,77.3000,11518.85
2011-10-13,76.8800,11478.13
2011-10-14,77.3600,11644.49
2011-10-17,76.8000,11397.00
2011-10-18,76.7500,11577.05
2011-10-19,76.7900,11504.62
2011-10-20,76.9100,11541.78
2011-10-21,76.1000,11808.79
2011-10-24,76.1000,11913.62
2011-10-25,75.8800,11706.62
2011-10-26,76.0500,11869.04
2011-10-27,75.8000,12208.55
2011-10-28,75.7200,12231.11
2011-10-31,77.9700,11955.01
2011-11-01,78.2800,11657.96
2011-11-02,78.0400,11836.04
2011-11-03,77.9600,12044.47
2011-11-04,78.1700,11983.24
2011-11-07,78.0600,12068.39
2011-11-08,77.7900,12170.18
2011-11-09,77.7700,11780.94
2011-11-10,77.5800,11893.79
2011-11-11,.,12153.68
2011-11-14,77.0200,12078.98
2011-11-15,76.9900,12096.16
2011-11-16,77.0200,11905.59
2011-11-17,76.9800,11770.73
2011-11-18,76.9300,11796.16
2011-11-21,76.9700,11547.31
2011-11-22,77.0700,11493.72
2011-11-23,77.4100,11257.55
2011-11-24,.,.
2011-11-25,77.6600,11231.78
2011-11-28,78.0500,11523.01
2011-11-29,77.8600,11555.63
2011-11-30,77.5800,12045.68
2011-12-01,77.6000,12020.03
2011-12-02,77.8800,12019.42
2011-12-05,77.7700,12097.83
2011-12-06,77.7300,12150.13
2011-12-07,77.6900,12196.37
2011-12-08,77.6700,11997.70
2011-12-09,77.5800,12184.26
2011-12-12,77.8700,12021.39
2011-12-13,77.8600,11954.94
2011-12-14,78.0800,11823.48
2011-12-15,77.8700,11868.81
2011-12-16,77.6500,11866.39
2011-12-19,77.9600,11766.26
2011-12-20,77.7600,12103.58
2011-12-21,78.0000,12107.74
2011-12-22,78.1300,12169.65
2011-12-23,78.1300,12294.00
2011-12-26,.,.
2011-12-27,77.8300,12291.35
2011-12-28,77.9800,12151.41
2011-12-29,77.7100,12287.04
2011-12-30,76.9800,12217.56
2012-01-02,.,.
2012-01-03,76.6700,12397.38
2012-01-04,76.6800,12418.42
2012-01-05,77.1800,12415.70
2012-01-06,77.0600,12359.92
2012-01-09,76.8800,12392.69
2012-01-10,76.8400,12462.47
2012-01-11,76.9000,12449.45
2012-01-12,76.7600,12471.02
2012-01-13,76.9000,12422.06
2012-01-16,.,.
2012-01-17,76.8000,12482.07
2012-01-18,76.8100,12578.95
2012-01-19,77.2300,12623.98
2012-01-20,76.9700,12720.48
2012-01-23,76.9200,12708.82
2012-01-24,77.7800,12675.75
2012-01-25,78.1300,12756.96
2012-01-26,77.4700,12734.63
2012-01-27,76.6800,12660.46
2012-01-30,76.2800,12653.72
2012-01-31,76.3400,12632.91
2012-02-01,76.1100,12716.46
2012-02-02,76.1300,12705.41
2012-02-03,76.5400,12862.23
2012-02-06,76.5400,12845.13
2012-02-07,76.8800,12878.20
2012-02-08,76.9000,12883.95
2012-02-09,77.4200,12890.46
2012-02-10,77.5700,12801.23
2012-02-13,77.5200,12874.04
2012-02-14,78.3900,12878.28
2012-02-15,78.2200,12780.95
2012-02-16,78.7700,12904.08
2012-02-17,79.3300,12949.87
2012-02-20,.,.
2012-02-21,79.7300,12965.69
2012-02-22,80.3000,12938.67
2012-02-23,80.2100,12984.69
2012-02-24,80.8800,12982.95
2012-02-27,80.4200,12981.51
2012-02-28,80.4400,13005.12
2012-02-29,81.1000,12952.07
2012-03-01,81.1600,12980.30
2012-03-02,81.5600,12977.57
2012-03-05,81.4300,12962.81
2012-03-06,80.8600,12759.15
2012-03-07,81.0600,12837.33
2012-03-08,81.5000,12907.94
2012-03-09,82.5900,12922.02
2012-03-12,82.2100,12959.71
2012-03-13,82.6600,13177.68
2012-03-14,83.7800,13194.10
2012-03-15,83.2800,13252.76
2012-03-16,83.3400,13232.62
2012-03-19,83.3100,13239.13
2012-03-20,83.6200,13170.19
2012-03-21,83.6200,13124.62
2012-03-22,82.5000,13046.14
2012-03-23,82.3500,13080.73
2012-03-26,82.8400,13241.63
2012-03-27,83.1500,13197.73
2012-03-28,82.7400,13126.21
2012-03-29,82.2800,13145.82
2012-03-30,82.4100,13212.04
2012-04-02,82.1600,13264.49
2012-04-03,82.1800,13199.55
2012-04-04,82.6200,13074.75
2012-04-05,82.3300,13060.14
2012-04-06,81.5600,.
2012-04-09,81.3600,12929.59
2012-04-10,80.9400,12715.93
2012-04-11,80.8800,12805.39
2012-04-12,80.8700,12986.58
2012-04-13,80.9900,12849.59
2012-04-16,80.4600,12921.41
2012-04-17,80.7200,13115.54
2012-04-18,81.2900,13032.75
2012-04-19,81.5700,12964.10
2012-04-20,81.6000,13029.26
2012-04-23,81.1600,12927.17
2012-04-24,81.2100,13001.56
2012-04-25,81.3300,13090.72
2012-04-26,80.7800,13204.62
2012-04-27,80.4800,13228.31
2012-04-30,79.8100,13213.63
2012-05-01,80.1700,13279.32
2012-05-02,80.1900,13268.57
2012-05-03,80.3600,13206.59
2012-05-04,79.8400,13038.27
2012-05-07,79.8800,13008.53
2012-05-08,79.7900,12932.09
2012-05-09,79.6400,12835.06
2012-05-10,79.9100,12855.04
2012-05-11,79.8600,12820.60
2012-05-14,79.8300,12695.35
2012-05-15,80.0900,12632.00
2012-05-16,80.3200,12598.55
2012-05-17,79.2600,12442.49
2012-05-18,79.1400,12369.38
2012-05-21,79.3100,12504.48
2012-05-22,79.9800,12502.81
2012-05-23,79.3300,12496.15
2012-05-24,79.4700,12529.75
2012-05-25,79.6400,12454.83
2012-05-28,.,.
2012-05-29,79.4400,12580.69
2012-05-30,78.9300,12419.86
2012-05-31,78.2900,12393.45
2012-06-01,78.2100,12118.57
2012-06-04,78.3000,12101.46
2012-06-05,78.5700,12127.95
2012-06-06,79.1100,12414.79
2012-06-07,79.6700,12460.96
2012-06-08,79.4700,12554.20
2012-06-11,79.5000,12411.23
2012-06-12,79.4400,12573.80
2012-06-13,79.3500,12496.38
2012-06-14,79.2900,12651.91
2012-06-15,78.6500,12767.17
2012-06-18,78.9500,12741.82
2012-06-19,78.9200,12837.33
2012-06-20,79.5400,12824.39
2012-06-21,80.1800,12573.57
2012-06-22,80.5200,12640.78
2012-06-25,79.5000,12502.66
2012-06-26,79.4600,12534.67
2012-06-27,79.8300,12627.01
2012-06-28,79.3500,12602.26
2012-06-29,79.8100,12880.09
2012-07-02,79.4200,12871.39
2012-07-03,79.7700,12943.82
2012-07-04,.,.
2012-07-05,79.9500,12896.67
2012-07-06,79.6100,12772.47
2012-07-09,79.6600,12736.29
2012-07-10,79.4400,12653.12
2012-07-11,79.7000,12604.53
2012-07-12,79.2900,12573.27
2012-07-13,79.2000,12777.09
2012-07-16,78.8000,12727.21
2012-07-17,79.0400,12805.54
2012-07-18,78.7900,12908.70
2012-07-19,78.6000,12943.36
2012-07-20,78.4900,12822.57
2012-07-23,78.3800,12721.46
2012-07-24,78.1900,12617.32
2012-07-25,78.2100,12676.05
2012-07-26,78.2400,12887.93
2012-07-27,78.5500,13075.66
2012-07-30,78.2000,13073.01
2012-07-31,78.1000,13008.68
2012-08-01,78.1900,12971.06
2012-08-02,78.2200,12878.88
2012-08-03,78.6000,13096.17
2012-08-06,78.1700,13117.51
2012-08-07,78.7100,13168.60
2012-08-08,78.4400,13175.64
2012-08-09,78.6400,13165.19
2012-08-10,78.2400,13207.95
2012-08-13,78.3400,13169.43
2012-08-14,78.8200,13172.14
2012-08-15,78.8900,13164.78
2012-08-16,79.2500,13250.11
2012-08-17,79.5000,13275.20
2012-08-20,79.4100,13271.64
2012-08-21,79.4300,13203.58
2012-08-22,79.1900,13172.76
2012-08-23,78.4600,13057.46
2012-08-24,78.6500,13157.97
2012-08-27,78.6700,13124.67
2012-08-28,78.5000,13102.99
2012-08-29,78.7200,13107.48
2012-08-30,78.5500,13000.71
2012-08-31,78.3000,13090.84
2012-09-03,.,.
2012-09-04,78.3500,13035.94
2012-09-05,78.3400,13047.48
2012-09-06,78.9600,13292.00
2012-09-07,78.1400,13306.64
2012-09-10,78.2400,13254.29
2012-09-11,77.7800,13323.36
2012-09-12,77.8600,13333.35
2012-09-13,77.4100,13539.86
2012-09-14,78.2200,13593.37
2012-09-17,78.6800,13553.10
2012-09-18,78.5900,13564.64
2012-09-19,78.4000,13577.96
2012-09-20,78.3000,13596.93
2012-09-21,78.1700,13579.47
2012-09-24,77.9000,13558.92
2012-09-25,77.9100,13457.55
2012-09-26,77.7800,13413.51
2012-09-27,77.6200,13485.97
2012-09-28,77.9200,13437.13
2012-10-01,78.0000,13515.11
2012-10-02,78.0100,13482.36
2012-10-03,78.5700,13494.61
2012-10-04,78.4400,13575.36
2012-10-05,78.6600,13610.15
2012-10-08,.,13583.65
